evals,average fitness,best fitness
40,80,120,160,200,240,280,320,360,400,440,480,520,560,600,640,680,720,760,800,840,880,920,960,1000,1040,1080
-3488145287.840542,-760022639.2407786,-165423659.0533924,-40285858.818514176,-11059013.903154531,-2988874.2122395253,-714266.7851252411,-52775218.10270029,-1729732.9117849236,-9842423.486266322,-153384838.40691155,-616241962.3768222,-13725535.907475391,-1399652238.8244283,-249616958.4515602,-12425637.020632843,-371306324.28787655,-27429524.639888376,-1231685948.9538634,-655686389.7948188,-9.69007482209708e+17,-1302750216.7510707,-5756349470.248735,-1247853785.1269395,-6.33143719885919e+27,-7.995417595947863e+20,-55413672.86905367
-25242237.569741998,-8491920.792879501,-671276.7954119102,-193573.08990195958,-105996.37124266304,-88844.65089506132,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075,-13833.43813928075
